times, f
9.253879752655103097e-01,-3.071155820801013681e-01
9.288280792627798821e-01,-3.085953479711223690e-01
9.322681832600494545e-01,-3.100703906413364019e-01
9.357082872573190269e-01,-3.115406704748193145e-01
9.391483912545884882e-01,-3.130061478556465104e-01
9.425884952518580606e-01,-3.144667831678941705e-01
9.460285992491276330e-01,-3.159225367956377539e-01
9.494687032463972054e-01,-3.173733691229532194e-01
9.529088072436667778e-01,-3.188192405339163038e-01
9.563489112409363502e-01,-3.202601114126024662e-01
9.597890152382058115e-01,-3.216959421430879429e-01
9.632291192354753839e-01,-3.231266931094481376e-01
9.666692232327449563e-01,-3.245523246957590646e-01
9.701093272300145287e-01,-3.259727972860962941e-01
9.735494312272841011e-01,-3.273880712645355073e-01
9.769895352245536735e-01,-3.287981070151527185e-01
9.804296392218231349e-01,-3.302028649220235534e-01
9.838697432190927072e-01,-3.316023053692236933e-01
9.873098472163622796e-01,-3.329963887408290968e-01
9.907499512136318520e-01,-3.343850754209153342e-01
9.941900552109014244e-01,-3.357683257935583088e-01
9.976301592081709968e-01,-3.371461002428336462e-01
1.001070263205440458e+00,-3.385183591528172498e-01
1.004510367202710031e+00,-3.398850629075846896e-01
1.007950471199979603e+00,-3.412461718912118691e-01
1.011390575197249175e+00,-3.426016464877745249e-01
1.014830679194518748e+00,-3.439514470813483937e-01
1.018270783191788320e+00,-3.452955340560092679e-01
1.021710887189057892e+00,-3.466338677958329395e-01
1.025150991186327465e+00,-3.479664086848950344e-01
1.028591095183597037e+00,-3.492931171072712893e-01
1.032031199180866610e+00,-3.506139534470376629e-01
1.035471303178135960e+00,-3.519288780882698364e-01
1.038911407175405532e+00,-3.532378514150434912e-01
1.042351511172675105e+00,-3.545408338114344193e-01
1.045791615169944677e+00,-3.558377856615184687e-01
1.049231719167214250e+00,-3.571286673493712649e-01
1.052671823164483822e+00,-3.584134392590686558e-01
1.056111927161753394e+00,-3.596920617746863780e-01
1.059552031159022967e+00,-3.609644952803002238e-01
1.062992135156292539e+00,-3.622307001599858745e-01
1.066432239153562112e+00,-3.634906367978191222e-01
1.069872343150831684e+00,-3.647442655778758147e-01
1.073312447148101256e+00,-3.659915468842315223e-01
1.076752551145370829e+00,-3.672324411009621481e-01
1.080192655142640179e+00,-3.684669086121433179e-01
1.083632759139909751e+00,-3.696949098018509905e-01
1.087072863137179324e+00,-3.709164077481297284e-01
1.090512967134448896e+00,-3.721314204563571648e-01
1.093953071131718469e+00,-3.733400172143037099e-01
1.097393175128988041e+00,-3.745422692736431469e-01
1.100833279126257613e+00,-3.757382478860492592e-01
1.104273383123527186e+00,-3.769280243031956634e-01
1.107713487120796758e+00,-3.781116697767564205e-01
1.111153591118066331e+00,-3.792892555584052028e-01
1.114593695115335903e+00,-3.804608528998157935e-01
1.118033799112605475e+00,-3.816265330526620314e-01
1.121473903109875048e+00,-3.827863672686178109e-01
1.124914007107144398e+00,-3.839404267993564157e-01
1.128354111104413970e+00,-3.850887828965522952e-01
1.131794215101683543e+00,-3.862315068118788441e-01
1.135234319098953115e+00,-3.873686697970100123e-01
1.138674423096222688e+00,-3.885003431036195276e-01
1.142114527093492260e+00,-3.896265979833812843e-01
1.145554631090761832e+00,-3.907475056879687880e-01
1.148994735088031405e+00,-3.918631374690560998e-01
1.152434839085300977e+00,-3.929735645783168363e-01
1.155874943082570550e+00,-3.940788582674250029e-01
1.159315047079840122e+00,-3.951790897880541054e-01
1.162755151077109694e+00,-3.962743303918781490e-01
1.166195255074379267e+00,-3.973646513305709727e-01
1.169635359071648617e+00,-3.984501238558061376e-01
1.173075463068918189e+00,-3.995308192192574825e-01
1.176515567066187762e+00,-4.006068086725989574e-01
1.179955671063457334e+00,-4.016781634675042345e-01
1.183395775060726907e+00,-4.027449548556470971e-01
1.186835879057996479e+00,-4.038072540887013839e-01
1.190275983055266051e+00,-4.048651324183408784e-01
1.193716087052535624e+00,-4.059186610962394193e-01
1.197156191049805196e+00,-4.069679113740706788e-01
1.200596295047074769e+00,-4.080129545035083849e-01
1.204036399044344341e+00,-4.090538617362265983e-01
1.207476503041613913e+00,-4.100907043238988803e-01
1.210916607038883264e+00,-4.111235535181989587e-01
1.214356711036152836e+00,-4.121524805708009498e-01
1.217796815033422408e+00,-4.131775567333783039e-01
1.221236919030691981e+00,-4.141988532576050819e-01
1.224677023027961553e+00,-4.152164413951549005e-01
1.228117127025231126e+00,-4.162303923977016540e-01
1.231557231022500698e+00,-4.172407775169189037e-01
1.234997335019770270e+00,-4.182476680044806550e-01
1.238437439017039843e+00,-4.192511351120607466e-01
1.241877543014309415e+00,-4.202512500913327953e-01
1.245317647011578988e+00,-4.212480841939706955e-01
1.248757751008848560e+00,-4.222417086716481749e-01
1.252197855006118132e+00,-4.232321947760390723e-01
1.255637959003387483e+00,-4.242196137588170601e-01
1.259078063000657055e+00,-4.252040368716561991e-01
1.262518166997926627e+00,-4.261855353662299950e-01
1.265958270995196200e+00,-4.271641804942123977e-01
1.269398374992465772e+00,-4.281400319915039110e-01
1.272838478989735345e+00,-4.291130956384998085e-01
1.276278582987004917e+00,-4.300833614268226301e-01
1.279718686984274489e+00,-4.310508193461203841e-01
1.283158790981544062e+00,-4.320154593860410230e-01
1.286598894978813634e+00,-4.329772715362324442e-01
1.290038998976083207e+00,-4.339362457863427669e-01
1.293479102973352779e+00,-4.348923721260197772e-01
1.296919206970622351e+00,-4.358456405449114834e-01
1.300359310967891702e+00,-4.367960410326656162e-01
1.303799414965161274e+00,-4.377435635789305168e-01
1.307239518962430846e+00,-4.386881981733540270e-01
1.310679622959700419e+00,-4.396299348055839329e-01
1.314119726956969991e+00,-4.405687634652681872e-01
1.317559830954239564e+00,-4.415046741420549647e-01
1.320999934951509136e+00,-4.424376568255920517e-01
1.324440038948778708e+00,-4.433677015055274007e-01
1.327880142946048281e+00,-4.442947981715090200e-01
1.331320246943317853e+00,-4.452189368131848624e-01
1.334760350940587426e+00,-4.461401074202028250e-01
1.338200454937856998e+00,-4.470582999822108605e-01
1.341640558935126570e+00,-4.479735044888569218e-01
1.345080662932395921e+00,-4.488857109297888504e-01
1.348520766929665493e+00,-4.497949092946549876e-01
1.351960870926935065e+00,-4.507010895731028977e-01
1.355400974924204638e+00,-4.516042417547805887e-01
1.358841078921474210e+00,-4.525043558293362911e-01
1.362281182918743783e+00,-4.534014217864175134e-01
1.365721286916013355e+00,-4.542954296156725413e-01
1.369161390913282927e+00,-4.551863693067492722e-01
1.372601494910552500e+00,-4.560742308492955477e-01
1.376041598907822072e+00,-4.569590042329593760e-01
1.379481702905091645e+00,-4.578406794473887653e-01
1.382921806902361217e+00,-4.587192464822315574e-01
1.386361910899630789e+00,-4.595946953271358715e-01
1.389802014896900140e+00,-4.604670159717492162e-01
1.393242118894169712e+00,-4.613361984057201548e-01
1.396682222891439284e+00,-4.622022326186962515e-01
1.400122326888708857e+00,-4.630651086003256256e-01
1.403562430885978429e+00,-4.639248163402562297e-01
1.407002534883248002e+00,-4.647813458281357946e-01
1.410442638880517574e+00,-4.656346870536124949e-01
1.413882742877787146e+00,-4.664848300063341724e-01
1.417322846875056719e+00,-4.673317646759488353e-01
1.420762950872326291e+00,-4.681754810521044363e-01
1.424203054869595864e+00,-4.690159691244489282e-01
1.427643158866865436e+00,-4.698532188826302636e-01
1.431083262864135008e+00,-4.706872203162962287e-01
1.434523366861404359e+00,-4.715179634150950538e-01
1.437963470858673931e+00,-4.723454381686744696e-01
1.441403574855943504e+00,-4.731696345666825954e-01
1.444843678853213076e+00,-4.739905425987671617e-01
1.448283782850482648e+00,-4.748081526406801589e-01
